beta,overrelaxation_sweeps,schedule_label,chain_count,mean_runtime_seconds,mean_acceptance_rate,mean_plaquette,mean_plaquette_tau_int,mean_plaquette_ess_per_second,std_plaquette_ess_per_second,mean_scalar_tau_int,mean_scalar_ess_per_second,std_scalar_ess_per_second,mean_plaquette_efficiency_ratio_vs_metropolis,mean_scalar_efficiency_ratio_vs_metropolis
1.5,0,M,3,2.339922027666668,0.8337808641975308,0.3561893766813509,4.771099045752706,8.679435423920925,2.9865358481420654,4.106735399798132,9.618905440897722,1.8129755554362301,1.0,1.0
1.5,1,M+1OR,3,6.559804111000003,0.8338425925925925,0.3545669813414099,7.67021475149231,2.4378325175035545,1.2915480093494467,3.0873397985099245,6.16076712744452,3.356633781940764,0.3327880300256284,0.6833417982519702
1.5,2,M+2OR,3,10.764512125000003,0.8351234567901235,0.3507108572532633,5.19925262927103,1.7957742952209266,0.7520279961151624,2.3731228951417767,3.6328360889365023,0.8110013740220448,0.23380466972440547,0.3854134356906967
1.5,4,M+4OR,3,19.162525347,0.835192901234568,0.3484229016140567,4.900811425851404,0.9923012326022818,0.21661929227402088,2.2204094633226803,2.260309154868698,0.7089670047196909,0.12428904472005,0.23404318004182903
2.0,0,M,3,2.3055405969999945,0.7837191358024692,0.45318449859424326,7.667430216607605,7.877527879475863,5.19719442009127,4.482487863821124,9.13398427408712,2.245629117029267,1.0,1.0
2.0,1,M+1OR,3,6.513832861333337,0.7842206790123457,0.46216054402202955,6.867031663693031,2.072949743278768,0.42805986656470113,2.0451668917007275,8.667349991549687,5.9506766033284935,0.3882589732501025,0.9212940202825397
2.0,2,M+2OR,3,10.688571291666667,0.7855787037037038,0.4525480471337742,7.62995467660231,1.2009559642631542,0.45402273940296206,2.7977106001914005,3.3633648776187273,1.2896013565675724,0.283990590273342,0.389715632521594
2.0,4,M+4OR,3,19.079603666666667,0.7845756172839508,0.45366738579406857,5.926702207496784,0.8102906718639457,0.13951729638952226,2.416102804212225,1.9554221537081213,0.08873036613255078,0.17477426020247408,0.22324973997223876
2.5,0,M,3,2.2587252916666785,0.7392052469135804,0.545569812876194,8.024171364225733,5.084676541145771,0.915803810635611,6.903736780681214,6.088727136471651,1.7392151075992826,1.0,1.0
2.5,1,M+1OR,3,6.502951236000001,0.7354475308641976,0.5484831255126427,9.012770205832265,2.0551408018843955,1.513813478701955,2.2294991330926606,6.921965496359974,2.5202511983630362,0.4544775579070229,1.2504876155843248
2.5,2,M+2OR,3,10.677586457999979,0.7372762345679013,0.5560928537930816,8.212712687680828,1.1519561921481134,0.4316561617571087,4.490669143211703,2.1107108119207667,0.8124978554823405,0.22073597207861276,0.3543896572179674
2.5,4,M+4OR,3,18.99847187499999,0.7353317901234567,0.5521624518628035,7.621565276790246,0.6786304393546324,0.26306497181285443,4.277132823196188,1.3520939594169679,0.7720389399013358,0.13442099910586502,0.21077862966152927
