beta,seed,overrelaxation_sweeps,schedule_label,runtime_seconds,mean_acceptance_rate,mean_plaquette,plaquette_tau_int,plaquette_ess,plaquette_ess_per_second,scalar_mean,scalar_tau_int,scalar_ess,scalar_ess_per_second,maximum_microcanonical_error
1.5,2026,0,M,2.329229375,0.8327083333333333,0.35082471364769124,6.146944114310537,14.641421546435307,6.285950925908835,0.648632427753327,3.7931031566727937,23.72727455135851,10.186748804573403,0.0
1.5,2026,1,M+1OR,6.5793733329999995,0.8339814814814815,0.3563763648201699,4.242772006700349,21.212546858013706,3.2240983729587835,0.6401360659338345,1.5931370725749345,56.492314157585945,8.5862758196497,1.0658141036401503e-14
1.5,2026,2,M+2OR,10.781735625000001,0.8363194444444446,0.3377348135178624,3.17646119633114,28.333417107047094,2.627908723837503,0.6647322786116926,1.8310101868343052,49.15319458468115,4.558931538880239,1.0658141036401503e-14
1.5,2026,4,M+4OR,19.169402791,0.837314814814815,0.3404007997568502,3.9528843652838894,22.768184364415717,1.1877357167905793,0.6570242296299325,1.5606782838312978,57.66723413300764,3.008295811911381,1.0658141036401503e-14
1.5,2027,0,M,2.334332124999996,0.8342361111111111,0.3606071119083995,4.990216169491826,18.03529084576011,7.726103176410743,0.6296563711643699,5.079715121531377,17.71752900443515,7.589977799082545,0.0
1.5,2027,1,M+1OR,6.476814125000004,0.8341435185185185,0.35847972010797574,4.422336105400316,20.35123469925701,3.1421674771710384,0.6410488037051102,1.836562938087876,49.00458249130456,7.566155450123332,7.993605777301127e-15
1.5,2027,2,M+2OR,10.812573916000005,0.834375,0.35435997123627133,7.1463450097878445,12.59385040558962,1.1647412080997435,0.6485526338888647,2.529877668113915,35.57484266308307,3.2901363671087482,7.993605777301127e-15
1.5,2027,4,M+4OR,19.136021,0.836388888888889,0.3435966561116405,6.193371140341657,14.531665866714901,0.7593880601779702,0.661156583008279,2.9428266103838965,30.582841572259454,1.5981818567328838,7.993605777301127e-15
1.5,2028,0,M,2.3562045830000073,0.8343981481481482,0.35713630448796213,3.1761368534557546,28.33631047795584,12.026252169443197,0.6328851843279487,3.447387921190223,26.106722555588455,11.079989719037217,0.0
1.5,2028,1,M+1OR,6.623224875000005,0.8334027777777777,0.3488448590960843,14.345536142376263,6.273728573597388,0.947231702380841,0.6528013420239058,5.832319384866963,15.431253685029962,2.3298701125605294,9.769962616701378e-15
1.5,2028,2,M+2OR,10.699226834000001,0.834675925925926,0.3600377870056562,5.274951681694108,17.061767657954267,1.5946729537255333,0.6399757427147451,2.758480830477111,32.62665413717356,3.0494403608205207,9.769962616701378e-15
1.5,2028,4,M+4OR,19.18215225,0.8318749999999999,0.3612712489736794,4.556178771928664,19.75339522551314,1.0297799208382958,0.6417945715808174,2.157723495752847,41.71062704612125,2.1744497959618294,9.769962616701378e-15
2.0,2026,0,M,2.3072284579999973,0.7854629629629629,0.4441988804451861,15.157572558886216,5.937626203031894,2.5734886298077644,0.5441824705285074,5.952844657972479,15.118822205357821,6.552806746525419,0.0
2.0,2026,1,M+1OR,6.530721583999991,0.782662037037037,0.45547302236930887,7.093265091172631,12.688091991937883,1.9428315583109843,0.5469025736143016,2.704613951051289,33.27646814992462,5.095373875905328,1.3322676295501878e-14
2.0,2026,2,M+2OR,10.681186333,0.7900462962962962,0.443542912972775,4.911369469737744,18.324827841715152,1.7156172798053135,0.556616099462894,2.438117489126582,36.91372561059029,3.455957462004356,1.3322676295501878e-14
2.0,2026,4,M+4OR,19.014311625000005,0.7866666666666666,0.4562374994650788,4.880168703018077,18.44198540602514,0.9699002398686697,0.5442012730018185,2.5163935676820293,35.76547053524037,1.8809763530022277,1.3322676295501878e-14
2.0,2027,0,M,2.2927007499999945,0.7843981481481482,0.4612816416977348,4.847345044107074,18.56686478496371,8.098250408372637,0.5600281581784424,3.6897171688831887,24.392113509134195,10.639030631945426,0.0
2.0,2027,1,M+1OR,6.360280208000006,0.7853703703703704,0.46088367919691264,8.202858897794236,10.97178448652837,1.7250473450411792,0.540228316048225,0.9107632360590698,98.818217992017,15.536771142208913,1.2434497875801753e-14
2.0,2027,2,M+2OR,10.785216875000003,0.7816666666666666,0.4551988827213026,9.735563523396415,9.244457168166264,0.8571415183680542,0.5480965892810947,4.110792673241088,21.893587722350627,2.029962677254983,1.2434497875801753e-14
2.0,2027,4,M+4OR,18.99331941700001,0.7818518518518519,0.4559612267884913,6.3228639572184795,14.234056055761211,0.7494243498596138,0.5405326168594221,2.453047253210703,36.68906087406279,1.931682402035748,1.2434497875801753e-14
2.0,2028,0,M,2.316692582999991,0.7812962962962963,0.4540729736398089,2.9973730468295257,30.026292554808148,12.960844600247189,0.5326316618133788,3.8049017646077052,23.653698720203153,10.210115443790517,0.0
2.0,2028,1,M+1OR,6.650496792000013,0.7846296296296293,0.47012493049986703,5.304971002112227,16.965219972769994,2.5509703264841392,0.5304200619132767,2.5201234879918233,35.71253568677981,5.369904956534823,1.3322676295501878e-14
2.0,2028,2,M+2OR,10.599310666999997,0.7850231481481482,0.45890234570724525,8.242931036672772,10.918446314738084,1.030109094616095,0.5429680102956895,1.8442216382065313,48.80107582271034,4.604174493596844,1.3322676295501878e-14
2.0,2028,4,M+4OR,19.231179957999984,0.7852083333333335,0.4488034311286356,6.577073962253794,13.68389659543365,0.7115474258635535,0.5512581899626312,2.2788675917439427,39.49329935888287,2.0536077060863884,1.3322676295501878e-14
